! 1H energy loss (dE/dX) in Cr2O3
! apply ZOOM for details
Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al,Pergamon Press,NY(low energy)	Energy (MeV/u)3	2 - ATIMA 1.2 LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2 without LS-correction	Energy (MeV/u)5	4 - ATIMA 1.4 H.Weick, improved mean charge formula for HI	Energy (MeV/u)6	5 - electrical component of [1] - J.F.Ziegler et al	Energy (MeV/u)7	6 - nuclear component of [1] - J.F.Ziegler et al	
70.000000	0.00784316	70.000000	0.00699814	70.000000	0.00699101	70.000000	0.00698679	70.000000	0.00699086	70.000000	0.00699555	70.000000	2.59293e-06	
75.000000	0.00743736	75.000000	0.00664114	75.000000	0.00663644	75.000000	0.00663246	75.000000	0.00663644	75.000000	0.00663871	75.000000	2.43562e-06	
80.000000	0.00707889	80.000000	0.006326  	80.000000	0.00632293	80.000000	0.00631918	80.000000	0.00632308	80.000000	0.00632371	80.000000	2.29703e-06	
85.000000	0.00675975	85.000000	0.00604569	85.000000	0.00604367	85.000000	0.00604012	85.000000	0.00604394	85.000000	0.00604351	85.000000	2.17397e-06	
90.000000	0.00647368	90.000000	0.00579467	90.000000	0.0057933 	90.000000	0.00578988	90.000000	0.00579364	90.000000	0.00579261	90.000000	2.06393e-06	
95.000000	0.00621567	95.000000	0.00556854	95.000000	0.00556824	95.000000	0.00556419	95.000000	0.00556787	95.000000	0.00556658	95.000000	1.96492e-06	
100.000000	0.0059817 	100.000000	0.00536374	100.000000	0.00536342	100.000000	0.00535955	100.000000	0.00536317	100.000000	0.00536187	100.000000	1.87534e-06	
105.000000	0.00576847	105.000000	0.00517736	105.000000	0.00517682	105.000000	0.00517312	105.000000	0.00517668	105.000000	0.00517557	105.000000	1.7939e-06	
110.000000	0.0055733 	110.000000	0.005007  	110.000000	0.00500612	110.000000	0.00500255	110.000000	0.00500605	110.000000	0.00500528	110.000000	1.7195e-06	
115.000000	0.00539391	115.000000	0.00485066	115.000000	0.00484932	115.000000	0.00484588	115.000000	0.00484933	115.000000	0.004849  	115.000000	1.65128e-06	
120.000000	0.00522843	120.000000	0.00470666	120.000000	0.00470478	120.000000	0.00470147	120.000000	0.00470487	120.000000	0.00470507	120.000000	1.58847e-06	
125.000000	0.00507526	125.000000	0.00457359	125.000000	0.00457113	125.000000	0.00456792	125.000000	0.00457127	125.000000	0.00457206	125.000000	1.53045e-06	
